journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,keyword_order,keyword_raw,keyword_source,art_kwds_count,source_file
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1065A,APA,2020,Emergency Remote Training in Psychoanalysis and Psychotherapy: An Initial Assessment from Columbia,"Justin Richardson,  Deborah Cabaniss,  Sabrina Cherry,  Jane Halperin and  Susan Vaughan",Journal of the American Psychoanalytic Association,68,6,1065-1087,10.1177/0003065120980489,ART,1,candidates,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1065A,APA,2020,Emergency Remote Training in Psychoanalysis and Psychotherapy: An Initial Assessment from Columbia,"Justin Richardson,  Deborah Cabaniss,  Sabrina Cherry,  Jane Halperin and  Susan Vaughan",Journal of the American Psychoanalytic Association,68,6,1065-1087,10.1177/0003065120980489,ART,2,institutes,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1065A,APA,2020,Emergency Remote Training in Psychoanalysis and Psychotherapy: An Initial Assessment from Columbia,"Justin Richardson,  Deborah Cabaniss,  Sabrina Cherry,  Jane Halperin and  Susan Vaughan",Journal of the American Psychoanalytic Association,68,6,1065-1087,10.1177/0003065120980489,ART,3,remote training,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1065A,APA,2020,Emergency Remote Training in Psychoanalysis and Psychotherapy: An Initial Assessment from Columbia,"Justin Richardson,  Deborah Cabaniss,  Sabrina Cherry,  Jane Halperin and  Susan Vaughan",Journal of the American Psychoanalytic Association,68,6,1065-1087,10.1177/0003065120980489,ART,4,supervision,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1065A,APA,2020,Emergency Remote Training in Psychoanalysis and Psychotherapy: An Initial Assessment from Columbia,"Justin Richardson,  Deborah Cabaniss,  Sabrina Cherry,  Jane Halperin and  Susan Vaughan",Journal of the American Psychoanalytic Association,68,6,1065-1087,10.1177/0003065120980489,ART,5,psychoanalytic education,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1065A,APA,2020,Emergency Remote Training in Psychoanalysis and Psychotherapy: An Initial Assessment from Columbia,"Justin Richardson,  Deborah Cabaniss,  Sabrina Cherry,  Jane Halperin and  Susan Vaughan",Journal of the American Psychoanalytic Association,68,6,1065-1087,10.1177/0003065120980489,ART,6,distance learning,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1065A,APA,2020,Emergency Remote Training in Psychoanalysis and Psychotherapy: An Initial Assessment from Columbia,"Justin Richardson,  Deborah Cabaniss,  Sabrina Cherry,  Jane Halperin and  Susan Vaughan",Journal of the American Psychoanalytic Association,68,6,1065-1087,10.1177/0003065120980489,ART,7,teleanalysis,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1065A,APA,2020,Emergency Remote Training in Psychoanalysis and Psychotherapy: An Initial Assessment from Columbia,"Justin Richardson,  Deborah Cabaniss,  Sabrina Cherry,  Jane Halperin and  Susan Vaughan",Journal of the American Psychoanalytic Association,68,6,1065-1087,10.1177/0003065120980489,ART,8,training analysis,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1065A,APA,2020,Emergency Remote Training in Psychoanalysis and Psychotherapy: An Initial Assessment from Columbia,"Justin Richardson,  Deborah Cabaniss,  Sabrina Cherry,  Jane Halperin and  Susan Vaughan",Journal of the American Psychoanalytic Association,68,6,1065-1087,10.1177/0003065120980489,ART,9,Covid-19,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1127A,APA,2020,Falling Out of the World—and the Longing for Home,Alfred Margulies,Journal of the American Psychoanalytic Association,68,6,1127-1136,10.1177/0003065120981823,ART,1,catastrophe,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1127A,APA,2020,Falling Out of the World—and the Longing for Home,Alfred Margulies,Journal of the American Psychoanalytic Association,68,6,1127-1136,10.1177/0003065120981823,ART,2,pandemic,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1127A,APA,2020,Falling Out of the World—and the Longing for Home,Alfred Margulies,Journal of the American Psychoanalytic Association,68,6,1127-1136,10.1177/0003065120981823,ART,3,the uncanny,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1127A,APA,2020,Falling Out of the World—and the Longing for Home,Alfred Margulies,Journal of the American Psychoanalytic Association,68,6,1127-1136,10.1177/0003065120981823,ART,4,groundlessness,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1127A,APA,2020,Falling Out of the World—and the Longing for Home,Alfred Margulies,Journal of the American Psychoanalytic Association,68,6,1127-1136,10.1177/0003065120981823,ART,5,fantasy of home,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1127A,APA,2020,Falling Out of the World—and the Longing for Home,Alfred Margulies,Journal of the American Psychoanalytic Association,68,6,1127-1136,10.1177/0003065120981823,ART,6,return of the repressed,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1127A,APA,2020,Falling Out of the World—and the Longing for Home,Alfred Margulies,Journal of the American Psychoanalytic Association,68,6,1127-1136,10.1177/0003065120981823,ART,7,après-coup,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1127A,APA,2020,Falling Out of the World—and the Longing for Home,Alfred Margulies,Journal of the American Psychoanalytic Association,68,6,1127-1136,10.1177/0003065120981823,ART,8,entangled time,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1127A,APA,2020,Falling Out of the World—and the Longing for Home,Alfred Margulies,Journal of the American Psychoanalytic Association,68,6,1127-1136,10.1177/0003065120981823,ART,9,witnessing,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.1127A,APA,2020,Falling Out of the World—and the Longing for Home,Alfred Margulies,Journal of the American Psychoanalytic Association,68,6,1127-1136,10.1177/0003065120981823,ART,10,being-in-the-world,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
japa,Journal of the American Psychoanalytic Association,APA,2020,APA.068.0241A,APA,2020,Spatially Distant but Emotionally Close: A Personal Reflection on Psychoanalytic Distance Training,Nahaleh Moshtagh,Journal of the American Psychoanalytic Association,68,2,241-248,10.1177/0003065120919669,ART,1,distance training,documentInfoXML/artkwds,1,data\raw_pep_metadata\japa\2020\japa_APA_2020_art_id_APA._AND_year_2020.json
